Zmienna,Współczynnik,Błąd standardowy,Statystyka,Wartość p
Wyraz wolny,-2.455437914558139,0.1584222673216048,-15.499323144854896,3.42272296747317e-51
PKB (USD) (log),0.7915342001826153,0.013149881639765056,60.19325662894388,0
Stopa bezrobocia (%),6.093501798086201e-4,0.0017785710823368399,0.34260659349527,0.7319312718368831
"Inflacja (CPI, %)",0.0012762681678193766,0.001119377730801403,1.140158619115685,0.2543598854269713
Eksport usług turystycznych (USD) (log),0.5715148418152688,0.026425036458684843,21.627778743420993,3.507018311162278e-93
Wydatki turystyczne (USD) (log),-0.19872744977423037,0.04093081171968626,-4.855204219628256,1.2980978861074712e-6
