Zmienna,Współczynnik,Błąd standardowy,Statystyka,Wartość p,model
PKB (USD) (log),0.39504702929601443,0.09011412989956363,4.383852229792516,1.232648104285342e-5,FE_arrivals
Stopa bezrobocia (%),-0.0031533885931371566,0.0028830688938641783,-1.0937610959794544,0.2742046693475913,FE_arrivals
"Inflacja (CPI, %)",-1.1581215212990413e-4,5.343780503288003e-4,-0.21672325811033116,0.8284483375860267,FE_arrivals
Eksport usług turystycznych (USD) (log),0.42307565905785893,0.08302565061084174,5.0957222972078995,3.835036574162911e-7,FE_arrivals
Wydatki turystyczne (USD) (log),-0.0681019699379398,0.08088308667651767,-0.8419803538198977,0.3999096938043306,FE_arrivals
PKB (USD) (log),0.6930384965391478,0.0544419559130816,12.729860360741025,1.0868574805060423e-35,FE_receipts
Stopa bezrobocia (%),-0.0035499597639717965,0.0015819955543334696,-2.2439758153855713,0.024948033422868932,FE_receipts
"Inflacja (CPI, %)",-9.684342161655629e-5,2.172591249187019e-4,-0.44575076721309165,0.6558277826077068,FE_receipts
Eksport usług turystycznych (USD) (log),0.8323447735041514,0.03459918666996663,24.056772820809034,6.291217026208241e-112,FE_receipts
Wydatki turystyczne (USD) (log),-0.0062253670216029285,0.04097252424187789,-0.15194004120546717,0.8792502650202272,FE_receipts
