Zmienna,Współczynnik,Błąd standardowy,Statystyka,Wartość p
(Intercept),-1.6301037430284062,0.08523796856615669,-19.124150545225813,3.433608381501667e-75
PKB (USD) (log),0.9454816603402515,0.007108968263060254,132.99843596899706,0
Stopa bezrobocia (%),-0.005462920171893094,9.67915638656308e-4,-5.644004450095359,1.89045257854534e-8
"Inflacja (CPI, %)",-0.002284893022352187,5.061209018062483e-4,-4.514520175313533,6.7033886353054126e-6
Eksport usług turystycznych (USD) (log),0.9299896981144113,0.014121357313301306,65.85696243507894,0
Wydatki turystyczne (USD) (log),-0.12954079252042913,0.022097273070363348,-5.862297673922852,5.301575740431436e-9
